number,post date,ex/eff date, title
55155,Sep-09-2024,Sep-10-2024,"Invesco QQQ Trust - Flex Position Consolidations Option Symbol: 1QQQ"
55152,Sep-06-2024,Sep-09-2024,"Dril-Quip, Inc. - Name/Symbol/CUSIP Change Option Symbol: DRQ New Symbol: INVX"
55151,Sep-06-2024,Sep-09-2024,"RUSSELL 2000 INDEX AM/EURO - Flex Position Consolidation Option Symbol: 2RUT"
55146,Sep-05-2024,,"Liberty SiriusXM Series C - Anticipated Adjustment Option Symbol: LSXMK New Symbol: SIRI3 * * * Update * * *"
55145,Sep-05-2024,,"Liberty SiriusXM Series A - Anticipated Adjustment Option Symbol: LSXMA New Symbol: SIRI2 * * * Update * * *"
55141,Sep-04-2024,Sep-06-2024,"Brookfield Reinsurance Ltd. - Name/Symbol/CUSIP Change Option Symbol: BNRE New Symbol: BNT"
55140,Sep-04-2024,Sep-05-2024,"NextNav Inc. - Flex Position Consolidations Option Symbol: 1NN"
55129,Sep-03-2024,Sep-04-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55122,Aug-30-2024,Sep-03-2024,"ARCA biopharma, Inc. - Reverse Split and Name/Symbol/CUSIP Change Option Symbol: ABIO New Symbol: ORKA1"
55115,Aug-29-2024,,"ARCA biopharma, Inc. - Anticipated Reverse Split and Name/Symbol/CUSIP Change Option Symbol: ABIO New Symbol: ORKA1"
55114,Aug-29-2024,Aug-30-2024,"Super Micro Computer, Inc. - Flex Position Consolidation Option Symbol: 1SMCI"
55101,Aug-27-2024,Aug-28-2024,"Multiple Flex Position Consolidations"
55093,Aug-23-2024,Aug-26-2024,"Capital Product Partners L.P. - Name/Symbol/CUSIP Change Option Symbol: CPLP New Symbol: CCEC"
55087,Aug-22-2024,Aug-23-2024,"Multiple Flex Position Consolidations"
55075,Aug-20-2024,Aug-21-2024,"Darling Ingredients Inc. - Flex Position Consolidation Option Symbol: 1DAR"
55066,Aug-19-2024,Aug-20-2024,"TeraWulf Inc. - Flex Position Consolidation Option Symbol: 1WULF"
55040,Aug-15-2024,Aug-16-2024,"Multiple Flex Position Consolidations"
55036,Aug-14-2024,,"Acceleration of Expirations/August 2024 Expiration"
55034,Aug-13-2024,,"Liberty SiriusXM Series C - Anticipated Adjustment Option Symbol: LSXMK New Symbol: SIRI3"
55033,Aug-13-2024,,"Liberty SiriusXM Series A - Anticipated Adjustment Option Symbol: LSXMA New Symbol: SIRI2"
55032,Aug-13-2024,,"Sirius XM Holdings, Inc. - Anticipated Adjustment Option Symbol: SIRI New Symbol: SIRI1"
55030,Aug-13-2024,Aug-15-2024,"FSD Pharma Inc. - Reverse Split and Name/Symbol/CUSIP Change Option Symbol: HUGE New Symbol: QNTM1"
55027,Aug-13-2024,Aug-14-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
54990,Aug-06-2024,Aug-07-2024,"Multiple Flex Position Consolidations"
54983,Aug-05-2024,Aug-06-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
54976,Aug-02-2024,Aug-05-2024,"PNM Resources, Inc. - Name/Symbol Change Option Symbol: PNM New Symbol: TXNM"
54975,Aug-02-2024,Aug-05-2024,"Multiple Flex Position Consolidations"
54971,Aug-01-2024,Aug-02-2024,"Multiple Flex Position Consolidations"
54966,Jul-31-2024,Aug-01-2024,"Summit Midstream Partners, LP - Name/Symbol/CUSIP Change Option Symbol: SMLP New Symbol: SMC"
54964,Jul-31-2024,Aug-01-2024,"Multiple Flex Position Consolidations"
54947,Jul-29-2024,Jul-30-2024,"Multiple Flex Position Consolidations"
54937,Jul-25-2024,Jul-26-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
54931,Jul-24-2024,Aug-12-2024,"iShares Robotics and Artificial Intelligence Multisector ETF - Name/Symbol Change Option Symbol: IRBO New Symbol: ARTY"
54924,Jul-23-2024,Jul-24-2024,"MyMD Pharmaceuticals, Inc. - Name/Symbol Change Adjusted Option Symbol: MYMD1 New Adjusted Symbol: TNFA1"
54915,Jul-22-2024,Jul-23-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
54902,Jul-19-2024,Jul-22-2024,"Defiance Next Gen Connectivity ETF - Name/Symbol Change Option Symbol: FIVG New Symbol: SIXG"
54884,Jul-18-2024,Jul-19-2024,"Multiple Flex Position Consolidations"
54880,Jul-17-2024,,"Acceleration of Expirations/July 2024 Expiration"
54871,Jul-15-2024,Jul-16-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
54830,Jul-03-2024,Jul-05-2024,"S&P 500 INDEX AM/EURO - Flex Position Consolidations Option Symbol: 2SPX"
54825,Jul-02-2024,Jul-03-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
54811,Jul-01-2024,Jul-02-2024,"Invesco QQQ Trust - Flex Position Consolidation Option Symbol: 1QQQ"
54781,Jun-24-2024,Jun-25-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
54765,Jun-21-2024,Jun-24-2024,"Multiple Flex Position Consolidations"
54763,Jun-20-2024,Jun-21-2024,"AVROBIO, Inc. - Reverse Split and Name/Symbol/CUSIP Change Option Symbol: AVRO New Symbol: TECX1"
54757,Jun-20-2024,Jun-21-2024,"Multiple Flex Position Consolidations"
54743,Jun-18-2024,,"Acceleration of Expirations/June 2024 Expiration"
54741,Jun-18-2024,Jun-20-2024,"Insmed Incorporated - Flex Position Consolidations Option Symbol: 1INSM"
54733,Jun-17-2024,Jun-18-2024,"Multiple Flex Position Consolidations"
54715,Jun-13-2024,Jun-14-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
54696,Jun-11-2024,Jun-12-2024,"Gannett Co., Inc. - Flex Position Consolidation Option Symbol: 1GCI"
54680,Jun-06-2024,Jun-07-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidations Option Symbol: 4SPX"
54667,Jun-03-2024,Jun-04-2024,"Multiple Flex Position Consolidations"
54657,May-31-2024,Jun-10-2024,"Ocwen Financial Corporation - Name/Symbol Change Option Symbol: OCN New Symbol: ONIT"
54656,May-31-2024,Jun-03-2024,"NASDAQ 100 AM/EURO - Flex Position Consolidations Option Symbol: 2NDX"
